date	sentiment	detailSentiment	subjectivity	detailSubjectivity	numWords	numSentences	numNouns
2017-11-30	neutral	neutral	objective	veryobjective	19	3	3
2017-11-30	neutral	neutral	objective	veryobjective	12	1	1
2017-11-30	neutral	neutral	objective	veryobjective	13	3	3
2017-11-30	neutral	neutral	objective	objective	44	9	9
2017-11-30	neutral	neutral	neutral	neutral	26	5	5
2017-11-30	neutral	neutral	objective	veryobjective	12	1	1
2017-11-30	neutral	neutral	objective	veryobjective	10	4	4
2017-11-30	neutral	neutral	neutral	neutral	7	2	2
2017-11-30	neutral	neutral	objective	veryobjective	22	6	6
2017-11-30	neutral	neutral	objective	veryobjective	20	6	6
2017-11-30	neutral	neutral	objective	veryobjective	13	3	3
2017-11-30	positive	positive	objective	objective	24	5	5
2017-11-30	neutral	neutral	objective	veryobjective	41	11	11
2017-11-30	neutral	neutral	objective	veryobjective	41	11	11
2017-11-30	neutral	neutral	objective	objective	28	5	5
2017-11-30	neutral	neutral	objective	objective	32	5	5
2017-11-30	neutral	neutral	objective	objective	25	3	3
2017-11-30	neutral	neutral	objective	veryobjective	23	5	5
2017-11-30	neutral	neutral	neutral	neutral	35	8	8
2017-11-30	neutral	neutral	subjective	subjective	24	6	6
2017-11-30	neutral	neutral	objective	veryobjective	18	3	3
2017-11-30	positive	positive	neutral	neutral	27	8	8
2017-11-30	neutral	neutral	objective	veryobjective	16	1	1
2017-11-30	neutral	neutral	objective	veryobjective	4	2	2
2017-11-30	neutral	neutral	objective	objective	37	10	10
2017-11-30	negative	verynegative	subjective	verysubjective	45	4	4
2017-11-30	neutral	neutral	objective	veryobjective	22	5	5
2017-11-30	positive	positive	neutral	neutral	34	4	4
2017-11-30	neutral	neutral	objective	veryobjective	15	2	2
2017-11-30	neutral	neutral	objective	veryobjective	15	4	4
2017-11-30	positive	positive	subjective	subjective	6	2	2
2017-11-30	positive	positive	neutral	neutral	24	8	8
2017-11-30	neutral	neutral	objective	veryobjective	18	4	4
2017-11-30	positive	verypositive	subjective	subjective	3	1	1
2017-11-30	neutral	neutral	objective	objective	26	7	7
2017-11-30	neutral	neutral	objective	veryobjective	46	7	7
2017-11-30	neutral	neutral	objective	veryobjective	22	5	5
2017-11-30	neutral	neutral	objective	veryobjective	24	3	3
2017-11-30	neutral	neutral	objective	veryobjective	28	7	7
2017-11-30	neutral	neutral	objective	veryobjective	7	2	2
2017-11-30	neutral	neutral	objective	objective	16	4	4
2017-11-30	neutral	neutral	objective	veryobjective	19	4	4
2017-11-30	neutral	neutral	neutral	neutral	18	5	5
2017-11-30	neutral	neutral	neutral	neutral	11	3	3
2017-11-30	neutral	neutral	neutral	neutral	39	10	10
2017-11-30	neutral	neutral	objective	veryobjective	25	6	6
2017-11-30	neutral	neutral	objective	veryobjective	14	3	3
2017-11-30	neutral	neutral	objective	veryobjective	14	3	3
2017-11-30	neutral	neutral	objective	veryobjective	14	3	3
2017-11-30	neutral	neutral	objective	veryobjective	15	3	3
2017-11-30	neutral	neutral	objective	veryobjective	19	5	5
2017-11-30	neutral	neutral	objective	veryobjective	13	5	5
2017-11-30	neutral	neutral	objective	veryobjective	19	5	5
2017-11-30	neutral	neutral	objective	veryobjective	18	4	4
2017-11-30	neutral	neutral	objective	veryobjective	14	3	3
2017-11-30	neutral	neutral	objective	veryobjective	19	5	5
2017-11-30	neutral	neutral	objective	veryobjective	14	4	4
2017-11-30	neutral	neutral	neutral	neutral	20	8	8
2017-11-30	neutral	neutral	neutral	neutral	24	4	4
2017-11-30	positive	positive	subjective	subjective	37	8	8
2017-11-30	neutral	neutral	subjective	subjective	19	6	6
2017-11-30	neutral	neutral	subjective	subjective	37	8	8
2017-11-30	neutral	neutral	subjective	verysubjective	29	7	7
2017-11-30	neutral	neutral	neutral	neutral	33	7	7
2017-11-30	neutral	neutral	subjective	subjective	33	7	7
2017-11-29	neutral	neutral	objective	veryobjective	15	3	3
2017-11-29	neutral	neutral	subjective	subjective	35	7	7
2017-11-29	neutral	neutral	neutral	neutral	35	8	8
2017-11-29	neutral	neutral	neutral	neutral	16	5	5
2017-11-29	positive	positive	neutral	neutral	35	9	9
2017-11-29	positive	positive	neutral	neutral	21	5	5
2017-11-29	positive	positive	neutral	neutral	43	13	13
2017-11-29	neutral	neutral	objective	veryobjective	6	3	3
2017-11-29	positive	positive	subjective	verysubjective	11	4	4
2017-11-29	neutral	neutral	objective	veryobjective	18	2	2
2017-11-29	positive	positive	neutral	neutral	37	9	9
2017-11-29	neutral	neutral	neutral	neutral	47	11	11
2017-11-29	neutral	neutral	subjective	subjective	19	6	6
2017-11-29	positive	positive	subjective	subjective	27	6	6
2017-11-29	positive	positive	neutral	neutral	21	6	6
2017-11-29	neutral	neutral	neutral	neutral	31	4	4
2017-11-29	positive	positive	neutral	neutral	27	5	5
2017-11-29	positive	positive	neutral	neutral	28	7	7
2017-11-29	positive	positive	neutral	neutral	24	6	6
2017-11-29	positive	positive	neutral	neutral	42	10	10
2017-11-29	positive	positive	neutral	neutral	38	9	9
2017-11-29	positive	positive	neutral	neutral	39	8	8
2017-11-29	positive	positive	neutral	neutral	21	5	5
2017-11-29	neutral	neutral	objective	veryobjective	16	5	5
2017-11-29	neutral	neutral	objective	veryobjective	16	5	5
2017-11-29	positive	positive	neutral	neutral	41	8	8
2017-11-29	positive	positive	neutral	neutral	40	8	8
2017-11-29	positive	positive	neutral	neutral	30	7	7
2017-11-29	positive	positive	neutral	neutral	38	8	8
2017-11-29	neutral	neutral	objective	objective	47	8	8
2017-11-29	positive	positive	neutral	neutral	22	6	6
2017-11-29	positive	positive	neutral	neutral	44	11	11
2017-11-29	neutral	neutral	objective	veryobjective	10	2	2
2017-11-29	neutral	neutral	neutral	neutral	15	3	3
2017-11-29	positive	positive	neutral	neutral	25	5	5
2017-11-29	neutral	neutral	objective	veryobjective	34	9	9
2017-11-29	positive	positive	subjective	verysubjective	28	7	7
2017-11-29	neutral	neutral	objective	objective	17	2	2
2017-11-29	neutral	neutral	objective	objective	19	5	5
2017-11-29	neutral	neutral	objective	objective	46	8	8
2017-11-29	positive	positive	objective	objective	22	5	5
2017-11-29	positive	positive	neutral	neutral	23	5	5
2017-11-29	neutral	neutral	objective	veryobjective	22	1	1
2017-11-29	neutral	neutral	objective	veryobjective	30	3	3
2017-11-29	neutral	neutral	objective	veryobjective	16	4	4
2017-11-29	neutral	neutral	objective	veryobjective	16	4	4
2017-11-29	neutral	neutral	neutral	neutral	18	2	2
2017-11-29	neutral	neutral	objective	veryobjective	17	5	5
2017-11-29	neutral	neutral	objective	veryobjective	17	4	4
2017-11-29	neutral	neutral	objective	veryobjective	18	5	5
2017-11-29	neutral	neutral	subjective	verysubjective	17	3	3
2017-11-29	positive	positive	subjective	verysubjective	29	6	6
2017-11-29	neutral	neutral	objective	veryobjective	28	9	9
2017-11-29	neutral	neutral	objective	veryobjective	25	4	4
2017-11-29	neutral	neutral	subjective	verysubjective	18	5	5
2017-11-29	neutral	neutral	objective	veryobjective	11	2	2
2017-11-29	neutral	neutral	objective	objective	24	7	7
2017-11-29	neutral	neutral	objective	veryobjective	17	5	5
2017-11-29	neutral	neutral	objective	veryobjective	17	3	3
2017-11-29	neutral	neutral	subjective	subjective	35	6	6
2017-11-29	neutral	neutral	objective	veryobjective	25	6	6
2017-11-29	neutral	neutral	objective	veryobjective	16	6	6
2017-11-29	neutral	neutral	subjective	verysubjective	25	6	6
2017-11-29	neutral	neutral	objective	objective	33	3	3
2017-11-29	neutral	neutral	subjective	verysubjective	35	7	7
2017-11-29	neutral	neutral	objective	veryobjective	18	5	5
2017-11-29	neutral	neutral	objective	veryobjective	15	3	3
2017-11-29	neutral	neutral	objective	veryobjective	15	3	3
2017-11-29	neutral	neutral	objective	veryobjective	15	3	3
2017-11-29	neutral	neutral	objective	veryobjective	15	3	3
2017-11-29	neutral	neutral	subjective	verysubjective	37	7	7
2017-11-29	neutral	neutral	objective	veryobjective	14	3	3
2017-11-29	neutral	neutral	objective	veryobjective	14	3	3
2017-11-29	neutral	neutral	objective	veryobjective	18	4	4
2017-11-29	neutral	neutral	objective	veryobjective	16	4	4
2017-11-29	neutral	neutral	objective	veryobjective	16	5	5
2017-11-29	neutral	neutral	objective	veryobjective	16	5	5
2017-11-29	neutral	neutral	objective	veryobjective	16	5	5
2017-11-29	positive	verypositive	subjective	subjective	41	5	5
2017-11-29	neutral	neutral	neutral	neutral	41	8	8
2017-11-29	neutral	neutral	objective	objective	24	6	6
2017-11-29	neutral	neutral	neutral	neutral	38	8	8
2017-11-29	neutral	neutral	objective	veryobjective	8	4	4
2017-11-28	neutral	neutral	objective	veryobjective	20	6	6
2017-11-28	neutral	neutral	objective	veryobjective	18	6	6
2017-11-28	neutral	neutral	objective	veryobjective	27	2	2
2017-11-28	neutral	neutral	neutral	neutral	14	3	3
2017-11-28	neutral	neutral	objective	veryobjective	28	6	6
2017-11-28	neutral	neutral	objective	veryobjective	11	4	4
2017-11-28	positive	positive	neutral	neutral	31	3	3
2017-11-28	neutral	neutral	objective	veryobjective	21	8	8
2017-11-28	neutral	neutral	neutral	neutral	26	7	7
2017-11-28	neutral	neutral	objective	veryobjective	16	4	4
2017-11-28	neutral	neutral	objective	veryobjective	32	5	5
2017-11-28	neutral	neutral	objective	veryobjective	18	5	5
2017-11-28	negative	negative	objective	objective	17	4	4
2017-11-28	neutral	neutral	objective	veryobjective	24	4	4
2017-11-28	neutral	neutral	neutral	neutral	41	8	8
2017-11-28	neutral	neutral	neutral	neutral	43	8	8
2017-11-28	neutral	neutral	objective	veryobjective	31	7	7
2017-11-28	positive	positive	neutral	neutral	14	3	3
2017-11-28	neutral	neutral	neutral	neutral	36	3	3
2017-11-28	positive	positive	neutral	neutral	14	3	3
2017-11-28	positive	positive	neutral	neutral	14	3	3
2017-11-28	neutral	neutral	objective	veryobjective	26	6	6
2017-11-28	neutral	neutral	neutral	neutral	10	3	3
2017-11-28	neutral	neutral	objective	veryobjective	15	1	1
2017-11-28	neutral	neutral	objective	veryobjective	24	6	6
